"gene","STRING_id"
"Dhcr24","10090.ENSMUSP00000038063"
"Dhdds","10090.ENSMUSP00000116098"
"Dhh","10090.ENSMUSP00000023737"
"Dhrs3","10090.ENSMUSP00000122552"
"Dhx15","10090.ENSMUSP00000031061"
"Dhx40","10090.ENSMUSP00000018569"
"Dhx9","10090.ENSMUSP00000139825"
"Diaph2","10090.ENSMUSP00000039334"
"Dicer1","10090.ENSMUSP00000043676"
"Disc1","10090.ENSMUSP00000112410"
"Disp1","10090.ENSMUSP00000003035"
"Dmd","10090.ENSMUSP00000109633"
"Dmtf1","10090.ENSMUSP00000071815"
"Dmxl1","10090.ENSMUSP00000137871"
"Dmxl2","10090.ENSMUSP00000113705"
"Dnajb12","10090.ENSMUSP00000122056"
"Dock10","10090.ENSMUSP00000077099"
"Dot1l","10090.ENSMUSP00000100973"
"Dph6","10090.ENSMUSP00000099601"
"Dpysl2","10090.ENSMUSP00000022629"
"Dpysl4","10090.ENSMUSP00000026551"
"Drp2","10090.ENSMUSP00000115246"
"Dtna","10090.ENSMUSP00000111498"
"Dtnbp1","10090.ENSMUSP00000072170"
"Dtx4","10090.ENSMUSP00000040229"
"Dtymk","10090.ENSMUSP00000027503"
"Dusp11","10090.ENSMUSP00000032071"
"Dusp15","10090.ENSMUSP00000123090"
"Dync1li2","10090.ENSMUSP00000045480"
"Dynlrb1","10090.ENSMUSP00000114928"
"Dzip3","10090.ENSMUSP00000113344"
"Eci2","10090.ENSMUSP00000131735"
"Ecscr","10090.ENSMUSP00000095223"
"Edf1","10090.ENSMUSP00000015236"
"Eef1a1","10090.ENSMUSP00000042457"
"Eef1akmt2","10090.ENSMUSP00000033257"
"Efr3b","10090.ENSMUSP00000106809"
"Efs","10090.ENSMUSP00000022813"
"Egln2","10090.ENSMUSP00000078966"
"Egr2","10090.ENSMUSP00000041053"
"Ehbp1","10090.ENSMUSP00000105191"
"Ehd2","10090.ENSMUSP00000096397"
"Ehd4","10090.ENSMUSP00000028755"
"Eid1","10090.ENSMUSP00000129413"
"Eif2s3y","10090.ENSMUSP00000088736"
"Eif4g1","10090.ENSMUSP00000111120"
