"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","19/693","136/10644",0.139705882352941,2.14578558696206,3.54877170906244,0.0012627175742247,0.00904197032588324,0.00663366244004193,"17873/12044/13197/18035/13063/17210/16906/11796/22145/12983/16905/13665/78943/78688/12675/22146/18033/13040/23882",19
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","13/693","77/10644",0.168831168831169,2.59312981390903,3.70242235263212,0.0012877957736864,0.00904197032588324,0.00663366244004193,"16193/216799/16362/12263/21898/14679/16176/16175/16402/20311/29857/625018/18033",13
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","20/693","149/10644",0.134228187919463,2.0616519945379,3.44389084568854,0.00156814560049321,0.0107810010033908,0.00790950631827714,"16178/15894/20339/20293/21824/17969/17970/19252/63873/20971/18791/22339/16176/16175/12675/29857/22166/16177/19354/18033",20
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","16/693","108/10644",0.148148148148148,2.27545294211961,3.51563453459697,0.00160486533754138,0.0108082767630338,0.00792951724241713,"14825/16178/16193/11846/20723/11847/20310/24088/271457/21898/16176/12829/16177/18033/16780/18751",16
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","7/693","28/10644",0.25,3.83982683982684,3.97059604342187,0.00170514619524604,0.0112539648886239,0.00825649736645453,"16193/76408/20509/16176/12675/52466/18033",7
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","15/693","101/10644",0.148514851485149,2.28108525138228,3.41367286713617,0.00216360120625342,0.0138898246341581,0.0101903019644541,"15894/20339/16193/20293/21824/18712/18787/22339/16176/16175/11606/12829/29857/18033/18751",15
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","12/693","72/10644",0.166666666666667,2.55988455988456,3.50465615679686,0.00218869963932188,0.0138898246341581,0.0101903019644541,"12702/18035/14081/384783/18036/12675/50790/18761/72674/18033/18534/21938",12
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","17/693","122/10644",0.139344262295082,2.14023135334611,3.34263557248841,0.00229268292768989,0.0140398106037476,0.010300339517901,"18035/18019/26410/22637/16818/108723/18036/12042/12675/18761/29857/19264/18033/12503/12502/16822/21947",17
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","25/693","209/10644",0.119617224880383,1.83723772240519,3.22582638046248,0.00229742355334052,0.0140398106037476,0.010300339517901,"246256/18602/14289/64008/14293/12273/17969/17970/24088/12796/70315/12363/170744/21898/107435/20345/105675/56644/29857/14131/17972/19354/18033/18751/17523",25
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","29/693","256/10644",0.11328125,1.73992153679654,3.16231381911538,0.00246293166371271,0.0147775899822762,0.0108416130651468,"12765/12575/17869/16193/19225/18035/20293/12771/26427/13063/21354/18019/14707/12767/231991/22339/14679/16176/12675/13557/14695/29857/16177/14674/16194/19354/18033/14991/18751",29
"Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars","8/693","38/10644",0.210526315789474,3.23353839143313,3.63977630975404,0.00264509697822846,0.0155871786217035,0.011435569642717,"107652/15277/22235/212032/14584/54342/227620/94181",8
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","13/693","84/10644",0.154761904761905,2.37703566274995,3.34362956772608,0.00288587380275315,0.0167076904369919,0.0122576357272987,"18733/18035/232801/18019/17096/17060/108723/18036/12042/12675/19354/18033/18751",13
