"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","20/692","149/10644",0.134228187919463,2.06463126042596,3.45088924861329,0.00154129364378021,0.0118285326150574,0.00875349144080804,"16178/15894/20339/20293/21824/17969/17970/19252/63873/20971/18791/22339/16176/16175/12675/29857/22166/16177/19354/18033",20
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","16/692","108/10644",0.148148148148148,2.27874116891458,3.52197718930063,0.00158110933828122,0.0118583200371092,0.00877553508328335,"14825/16178/16193/11846/20723/11847/20310/24088/271457/21898/16176/12829/16177/18033/16780/18751",16
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","7/692","28/10644",0.25,3.84537572254335,3.97528323415334,0.00169094934368112,0.0124002951869948,0.00917661398208231,"16193/76408/20509/16176/12675/52466/18033",7
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","16/692","110/10644",0.145454545454545,2.23730951129795,3.43959993123469,0.00192171720642793,0.0137862321330699,0.0102022515306929,"16193/170826/12702/26427/384783/231991/20111/244416/14584/19046/19246/11606/18761/18033/18534/18751",16
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","15/692","101/10644",0.148514851485149,2.28438161735249,3.41981457872551,0.00213345121026559,0.014834980404226,0.0109783587042438,"15894/20339/16193/20293/21824/18712/18787/22339/16176/16175/11606/12829/29857/18033/18751",15
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","21/692","164/10644",0.128048780487805,1.96958268715635,3.29955999532438,0.00215781533152378,0.014834980404226,0.0109783587042438,"12575/17869/16193/12427/26427/13063/24088/54123/18019/12566/231991/13205/13655/56489/26397/21898/12675/13557/29857/18033/18751",21
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","25/692","209/10644",0.119617224880383,1.83989269021213,3.23355768165728,0.00225327230956361,0.0151069843240922,0.0111796502813059,"246256/18602/14289/64008/14293/12273/17969/17970/24088/12796/70315/12363/170744/21898/107435/20345/105675/56644/29857/14131/17972/19354/18033/18751/17523",25
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","13/692","82/10644",0.158536585365854,2.4385309460031,3.44812457850488,0.00228893701880185,0.0151069843240922,0.0111796502813059,"16193/54483/216799/54123/74568/20016/56489/18036/16176/12675/18033/15951/383619",13
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","15/692","103/10644",0.145631067961165,2.2400246927437,3.33455537369541,0.00259580884024346,0.0166354647291273,0.0123107745363877,"16193/20293/18787/24088/11421/15980/21898/14679/16176/12675/29857/18033/12503/15979/12502",15
"Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars","8/692","38/10644",0.210526315789474,3.23821113477335,3.64457535002355,0.00262134595731703,0.0166354647291273,0.0123107745363877,"107652/15277/22235/212032/14584/54342/227620/94181",8
