"gene","STRING_id"
"Fth1","10090.ENSMUSP00000158539"
"Fundc1","10090.ENSMUSP00000026016"
"Fus","10090.ENSMUSP00000101858"
"Fxyd3","10090.ENSMUSP00000130245"
"G3bp2","10090.ENSMUSP00000128353"
"G6pc3","10090.ENSMUSP00000077995"
"Gaa","10090.ENSMUSP00000101866"
"Galnt1","10090.ENSMUSP00000132142"
"Gar1","10090.ENSMUSP00000029643"
"Gask1b","10090.ENSMUSP00000114093"
"Gatd3a","10090.ENSMUSP00000001242"
"Gcn1","10090.ENSMUSP00000069432"
"Gdpd3","10090.ENSMUSP00000032944"
"Gjc3","10090.ENSMUSP00000076367"
"Gldn","10090.ENSMUSP00000056080"
"Glod4","10090.ENSMUSP00000017430"
"Glt8d1","10090.ENSMUSP00000022476"
"Gng2","10090.ENSMUSP00000125697"
"Gnl2","10090.ENSMUSP00000030684"
"Gnptab","10090.ENSMUSP00000020251"
"Golga2","10090.ENSMUSP00000097768"
"Gpbp1l1","10090.ENSMUSP00000030460"
"Gpr37l1","10090.ENSMUSP00000027682"
"Gpsm2","10090.ENSMUSP00000029482"
"Gpt","10090.ENSMUSP00000023203"
"Gpt2","10090.ENSMUSP00000034136"
"Gria3","10090.ENSMUSP00000075687"
"Grk2","10090.ENSMUSP00000086114"
"Grk4","10090.ENSMUSP00000001112"
"Grk6","10090.ENSMUSP00000001115"
"Grn","10090.ENSMUSP00000046340"
"Gtf3c1","10090.ENSMUSP00000056719"
"Gtpbp2","10090.ENSMUSP00000024748"
"Guf1","10090.ENSMUSP00000084480"
"H2-K1","10090.ENSMUSP00000025181"
"Heatr5b","10090.ENSMUSP00000094882"
"Hectd4","10090.ENSMUSP00000048345"
"Hepacam","10090.ENSMUSP00000054105"
"Herpud1","10090.ENSMUSP00000124201"
"Hexdc","10090.ENSMUSP00000101723"
"Hint3","10090.ENSMUSP00000125552"
"Hmgb1","10090.ENSMUSP00000082682"
"Hmgcs2","10090.ENSMUSP00000088249"
"Hmgn3","10090.ENSMUSP00000124278"
"Hmgxb4","10090.ENSMUSP00000045126"
"Hsd17b14","10090.ENSMUSP00000103381"
"Hsp90b1","10090.ENSMUSP00000020238"
"Hspg2","10090.ENSMUSP00000131316"
"Htra2","10090.ENSMUSP00000087073"
"Htt","10090.ENSMUSP00000078945"
"Ide","10090.ENSMUSP00000121358"
"Idnk","10090.ENSMUSP00000060218"
"Ifi27","10090.ENSMUSP00000082142"
"Ifit3","10090.ENSMUSP00000099889"
"Ifrd1","10090.ENSMUSP00000001672"
"Igf1r","10090.ENSMUSP00000005671"
"Igfbp5","10090.ENSMUSP00000027377"
"Igfbp6","10090.ENSMUSP00000023807"
"Igfbp7","10090.ENSMUSP00000128318"
"Igsf9","10090.ENSMUSP00000106866"
"Ikbkb","10090.ENSMUSP00000033939"
"Il10rb","10090.ENSMUSP00000023691"
"Ilk","10090.ENSMUSP00000033182"
"Inpp5f","10090.ENSMUSP00000045910"
"Insr","10090.ENSMUSP00000088837"
"Ints1","10090.ENSMUSP00000143789"
"Ippk","10090.ENSMUSP00000152331"
"Iqce","10090.ENSMUSP00000045913"
"Iqgap2","10090.ENSMUSP00000067685"
"Irak1","10090.ENSMUSP00000033769"
"Irs1","10090.ENSMUSP00000063795"
"Irs2","10090.ENSMUSP00000038514"
"Itga3","10090.ENSMUSP00000113556"
"Itga7","10090.ENSMUSP00000096712"
"Itm2b","10090.ENSMUSP00000022704"
"Itpr1","10090.ENSMUSP00000032192"
"Itsn1","10090.ENSMUSP00000109635"
"Itsn2","10090.ENSMUSP00000052758"
"Iws1","10090.ENSMUSP00000025243"
"Jakmip2","10090.ENSMUSP00000080881"
"Jdp2","10090.ENSMUSP00000136823"
"Kansl1l","10090.ENSMUSP00000063843"
"Kansl3","10090.ENSMUSP00000140597"
"Kat6a","10090.ENSMUSP00000038181"
"Kat6b","10090.ENSMUSP00000138377"
"Kcna1","10090.ENSMUSP00000055225"
"Kcna2","10090.ENSMUSP00000041702"
"Kctd18","10090.ENSMUSP00000110052"
"Kdm7a","10090.ENSMUSP00000002305"
"Khdc4","10090.ENSMUSP00000029696"
"Khsrp","10090.ENSMUSP00000007814"
"Kifc3","10090.ENSMUSP00000034240"
"Klf15","10090.ENSMUSP00000144962"
"Klf16","10090.ENSMUSP00000048825"
"Klf9","10090.ENSMUSP00000045639"
"Klhdc3","10090.ENSMUSP00000071743"
"Klhdc8b","10090.ENSMUSP00000142325"
"Krit1","10090.ENSMUSP00000078985"
"Lama4","10090.ENSMUSP00000019992"
"Lama5","10090.ENSMUSP00000015791"
