"gene","STRING_id"
"Kif1bp","10090.ENSMUSP00000065160"
"Kirrel","10090.ENSMUSP00000103243"
"Klf10","10090.ENSMUSP00000073690"
"Klrb1a","10090.ENSMUSP00000032512"
"Kmt2e","10090.ENSMUSP00000110781"
"Kmt5a","10090.ENSMUSP00000098275"
"Kpnb1","10090.ENSMUSP00000001479"
"L1cam","10090.ENSMUSP00000099935"
"Lama4","10090.ENSMUSP00000019992"
"Lama5","10090.ENSMUSP00000015791"
"Lamb1","10090.ENSMUSP00000002979"
"Lamb2","10090.ENSMUSP00000069087"
"Large1","10090.ENSMUSP00000148336"
"Lbr","10090.ENSMUSP00000005003"
"Lctl","10090.ENSMUSP00000034969"
"Ldlr","10090.ENSMUSP00000034713"
"Lemd2","10090.ENSMUSP00000058221"
"Letmd1","10090.ENSMUSP00000037546"
"Limk2","10090.ENSMUSP00000099162"
"Lims2","10090.ENSMUSP00000025254"
"Lox","10090.ENSMUSP00000025409"
"Lrch4","10090.ENSMUSP00000031734"
"Lrp1","10090.ENSMUSP00000044004"
"Lrp10","10090.ENSMUSP00000022782"
"Lrp5","10090.ENSMUSP00000025856"
"Lrp6","10090.ENSMUSP00000032322"
"Lrrc47","10090.ENSMUSP00000030894"
"Lrrc8b","10090.ENSMUSP00000108327"
"Lrrfip2","10090.ENSMUSP00000035078"
"Lsm14a","10090.ENSMUSP00000082723"
"Lyrm9","10090.ENSMUSP00000127853"
"Lyst","10090.ENSMUSP00000106188"
"Maged1","10090.ENSMUSP00000026142"
"Magi1","10090.ENSMUSP00000086730"
"Magoh","10090.ENSMUSP00000030348"
"Mal","10090.ENSMUSP00000028854"
"Man1a","10090.ENSMUSP00000003843"
"Man1b1","10090.ENSMUSP00000036996"
"Map2k2","10090.ENSMUSP00000121111"
"Map4","10090.ENSMUSP00000035055"
"Map4k3","10090.ENSMUSP00000025089"
"Map4k5","10090.ENSMUSP00000106199"
"Map6","10090.ENSMUSP00000146585"
"Mapkbp1","10090.ENSMUSP00000068516"
"Mapre3","10090.ENSMUSP00000031058"
"March7","10090.ENSMUSP00000099809"
"Marf1","10090.ENSMUSP00000087770"
"Mars","10090.ENSMUSP00000130666"
"Mast2","10090.ENSMUSP00000102095"
"Mast3","10090.ENSMUSP00000148686"
"Mat2a","10090.ENSMUSP00000087118"
"Mbd1","10090.ENSMUSP00000095137"
"Mbd3","10090.ENSMUSP00000089948"
"Mboat1","10090.ENSMUSP00000045441"
"Mboat7","10090.ENSMUSP00000037107"
"Mbp","10090.ENSMUSP00000046185"
"Mdm4","10090.ENSMUSP00000068661"
"Mdn1","10090.ENSMUSP00000136222"
"Meak7","10090.ENSMUSP00000044430"
"Mecr","10090.ENSMUSP00000030742"
"Med15","10090.ENSMUSP00000012259"
"Mef2a","10090.ENSMUSP00000117496"
"Metap1d","10090.ENSMUSP00000048190"
"Mettl5","10090.ENSMUSP00000050907"
"Mfap3l","10090.ENSMUSP00000125139"
"Mfsd2a","10090.ENSMUSP00000030408"
"Mfsd5","10090.ENSMUSP00000061997"
"Mfsd7a","10090.ENSMUSP00000031455"
"Mgat1","10090.ENSMUSP00000126303"
"Mia2","10090.ENSMUSP00000070572"
"Mical3","10090.ENSMUSP00000146544"
"Micall2","10090.ENSMUSP00000039707"
"Mink1","10090.ENSMUSP00000072091"
"Mlec","10090.ENSMUSP00000107749"
"Mlip","10090.ENSMUSP00000034910"
"Mllt1","10090.ENSMUSP00000025053"
"Mllt10","10090.ENSMUSP00000028076"
"Mocs2","10090.ENSMUSP00000125797"
"Morc2a","10090.ENSMUSP00000094176"
"Morc3","10090.ENSMUSP00000144369"
"Mphosph8","10090.ENSMUSP00000112170"
"Mprip","10090.ENSMUSP00000071914"
"Mpz","10090.ENSMUSP00000066701"
"Mras","10090.ENSMUSP00000035045"
"Msmo1","10090.ENSMUSP00000034015"
"Msn","10090.ENSMUSP00000113071"
"Msto1","10090.ENSMUSP00000115645"
"Mt3","10090.ENSMUSP00000034211"
"Mtdh","10090.ENSMUSP00000022865"
"Mterf3","10090.ENSMUSP00000021991"
"Mtg1","10090.ENSMUSP00000036491"
"Mthfd1","10090.ENSMUSP00000021443"
"Mtrex","10090.ENSMUSP00000022281"
"Mvk","10090.ENSMUSP00000107858"
"Mxi1","10090.ENSMUSP00000003870"
