"gene","p_val","avg_log2fc","pct.1","pct.2","p_val_adj"
"Dtna",0.0077661971531997,0.0345044058924855,0.452,0.395,1
"Dtx2",0.000328083318401319,0.135368626259368,0.106,0.075,1
"Dtx4",0.00354981711215263,0.0504870219360004,0.109,0.083,1
"Dtymk",0.00344417634707859,0.0717042045165839,0.267,0.225,1
"Dus3l",0.00443824839021508,0.0583100836005217,0.323,0.278,1
"Dusp15",0.000596977584085344,0.0663004928489119,0.969,0.951,1
"Dusp6",3.20747103492807e-06,0.614817112039926,0.405,0.305,0.0481762149446197
"Dync1h1",1.62870326030998e-05,0.141941366011074,0.514,0.431,0.244631229698559
"Eci2",0.00760140467298147,0.0442947254248256,0.105,0.081,1
"Ecscr",0.000108159565087738,0.101108540772054,0.533,0.457,1
"Edf1",0.000455496158570377,0.150847794803864,0.123,0.091,1
"Eef1akmt2",0.00387939539646973,0.0599047912263726,0.212,0.175,1
"Efr3b",0.00239885886236953,0.0979435013822396,0.293,0.25,1
"Egln1",0.00501719840872066,0.130932400813723,0.118,0.092,1
"Egr1",4.98263548286404e-18,1.91015943642614,0.124,0.013,7.48391849526179e-14
"Ehd4",7.05862949233739e-05,0.164662308970663,0.209,0.162,1
"Eif4g1",0.00273011536815941,0.119644999881264,0.164,0.132,1
"Eif4h",0.00251403511231131,-0.143471809107573,0.246,0.318,1
"Ell",0.00213396022130028,0.125792792261532,0.124,0.095,1
"Elovl1",0.00757723401965525,0.0660415717108997,0.423,0.373,1
"Elovl7",0.000708882959824195,0.147010863768663,0.161,0.126,1
"Eml1",4.22193600171623e-05,0.190060677220362,0.127,0.089,0.634134787457778
"Emp2",0.00755158737104093,0.0147013310540138,0.205,0.169,1
"Eno2",0.00546276284060772,0.0621220567018117,0.124,0.097,1
"Enpp2",0.00161042192231811,0.152172644678053,0.177,0.142,1
"Entr1",0.000177743236557658,0.102998913291498,0.184,0.14,1
"Epb41l2",3.64560401806566e-05,0.0912199275792029,0.488,0.405,0.547569723513462
"Epb41l4b",0.000414335658566167,0.0818101365674013,0.402,0.337,1
"Epha6",0.00446541796540153,0.0648579924765544,0.147,0.117,1
"Ephb6",0.000908754886811424,0.0960876381014679,0.294,0.242,1
"Erc1",0.00106246700192944,0.10148089222178,0.359,0.308,1
"Ercc1",0.000109105307079468,0.114168426204707,0.105,0.071,1
"Ercc3",3.89755708452964e-05,0.158543469697768,0.132,0.093,0.585413074096352
"Errfi1",0.00934464586633559,0.0554878157497082,0.141,0.114,1
"Esyt1",0.00259748989116128,0.0650028814502506,0.147,0.116,1
"Etnppl",0.00433377163215009,0.074706199342496,0.22,0.183,1
"Evi5",0.000479534475952375,0.1780603792849,0.197,0.157,1
"Exoc8",0.00132642857673572,0.0774648088005676,0.149,0.115,1
"Eya4",0.00625511369098619,-0.286051663937254,0.072,0.113,1
"Fa2h",6.83727765108384e-06,0.0947580954656999,0.553,0.469,0.102695910319279
"Fam102a",0.000456503747404616,0.158897744648832,0.196,0.155,1
"Fam129b",0.00942565055308667,0.0633721983930966,0.152,0.124,1
"Fam168a",0.00085968886385779,0.119925278132414,0.125,0.093,1
"Fam57a",0.00788914673410761,0.0750980790104328,0.179,0.148,1
"Fam76b",0.0088958206041135,0.0228289369907786,0.201,0.167,1
"Fasn",0.00118125245164951,0.424935380463867,0.208,0.149,1
"Fat1",5.33522461795338e-06,0.218917179470052,0.233,0.177,0.0801350737616597
"Fbln5",0.00583671979232721,0.0550313214903151,0.192,0.158,1
"Fbxl6",0.00108157967510529,0.119792853571023,0.115,0.085,1
"Fbxo25",0.0018190145514508,0.0616990856932271,0.305,0.256,1
"Fbxo27",0.00101959352230901,0.161887106987457,0.102,0.074,1
"Fdft1",0.00770263288585029,0.348347169586491,0.1,0.064,1
"Fdps",0.000616789249604265,0.183221938199948,0.139,0.106,1
"Fgf1",0.00509476045931746,0.106461442664739,0.285,0.244,1
"Filip1",1.10584308356215e-06,0.18262665367745,0.385,0.31,0.0166097631151034
"Fkbp3",0.000443264724253196,0.125825140106677,0.173,0.134,1
"Flna",0.00569558281964985,0.0484860423750098,0.343,0.296,1
"Flnb",0.000200288398451151,0.185955132833466,0.381,0.325,1
"Flywch1",0.00279851151105612,-0.248870322515005,0.308,0.39,1
"Fnbp1",0.00875089740647663,0.0535195303465748,0.785,0.72,1
"Fndc1",0.000463724564357294,0.142959975479381,0.133,0.098,1
"Fntb",0.0055059598068798,0.0778313517453388,0.182,0.149,1
"Fos",6.71257445076625e-14,1.31119134396964,0.153,0.042,1.00822868250509e-09
"Foxj3",0.0094660823253276,0.0960216414110387,0.143,0.116,1
"Foxk2",0.00657057854501529,0.011751588056087,0.122,0.095,1
"Frmd3",0.00013356850218811,0.0834264575793595,0.391,0.326,1
"Fsd1l",0.00845498410143874,0.0850793111334718,0.141,0.114,1
"Fxyd1",0.00010892209292448,-0.343568529347427,0.341,0.381,1
"Fxyd3",2.84377330546124e-06,0.199215531193784,0.185,0.134,0.0427134750480278
"G3bp2",3.16847947004665e-05,0.181079962950078,0.148,0.106,0.475905616401006
"Gabarapl1",0.00102964117949091,-0.251069331777636,0.558,0.637,1
"Galnt1",0.000351302997879026,0.0985136321982468,0.127,0.093,1
"Gan",0.000296086306808948,0.0745938902455385,0.172,0.13,1
"Gas2l3",4.30634380881197e-05,0.13439438529743,0.491,0.423,0.646812840083557
"Gatad2b",0.0090831059398817,0.0601470201735644,0.131,0.105,1
"Gcn1",0.00336865498617442,0.0322318852484376,0.323,0.273,1
"Gdpd3",0.000936766631421716,0.314031421800884,0.286,0.21,1
"Gfra1",0.00198312047415618,0.0548636290871038,0.525,0.457,1
"Gkap1",0.000437629727481146,0.0567103778206786,0.363,0.303,1
"Gldn",6.39933087157977e-07,0.19333705337085,0.365,0.29,0.00961179496911281
"Glod4",0.00382460562031538,0.000152402629410409,0.193,0.155,1
"Gls",0.00123210983085827,0.0863884489421167,0.613,0.54,1
"Glyr1",0.00271549000806103,0.117492279756226,0.188,0.153,1
"Gnai1",0.0080079359337423,0.0272832863954224,0.173,0.141,1
"Gng2",0.00258308262308309,0.0479812729392579,0.295,0.248,1
"Gnl2",0.00394370442356892,0.0816925634144878,0.194,0.158,1
"Gnl3",0.000668698596712744,0.182699136193146,0.121,0.09,1
"Gon4l",0.0038398129399746,0.029504644632881,0.159,0.126,1
"Gopc",0.00360326568475401,0.0183631475661503,0.192,0.156,1
"Gpbp1l1",0.00193986449286053,-0.314400538689024,0.314,0.39,1
"Gpcpd1",0.00932472085368191,0.123944622279495,0.185,0.155,1
"Gpr89",0.00418780161167615,-0.194943890001857,0.093,0.144,1
"Gpt",0.000318048704623386,0.124941186171717,0.117,0.084,1
"Gpt2",0.000547420832622696,0.125718698935734,0.229,0.185,1
"Grb14",0.00153702965117725,0.0859775458383496,0.289,0.242,1
"Gria3",0.00514328998001539,-0.34948987270884,0.176,0.231,1
"Grk4",0.000815409272251516,0.0950574458611547,0.108,0.078,1
"Gsn",0.00753164236583922,0.0336108118270604,0.342,0.296,1
"Gtdc1",0.00386986676841172,-0.139107709758575,0.192,0.261,1
"Gtpbp2",0.00618807617823519,0.105968283440388,0.2,0.167,1
"Gulp1",0.00336804666493557,0.0537421874829276,0.566,0.508,1
"H2-DMa",0.00653522921009717,0.169627046273808,0.107,0.084,1
"Hacl1",0.00411535649032793,-0.111019434483382,0.074,0.122,1
"Hccs",0.000897610672884682,0.173236934392338,0.126,0.07,1
"Hdac10",0.0088938034858182,0.036815091423273,0.129,0.102,1
"Hdac7",0.00518133152762804,-0.277957186967087,0.146,0.2,1
"Hdgfl3",0.000491340899504604,0.118733869899655,0.211,0.168,1
"Hdlbp",0.00393814965163629,0.0806782379897203,0.121,0.094,1
"Hectd4",0.000848138324142107,0.0869552843473329,0.421,0.36,1
"Herc1",0.00822707878786006,0.0540425186262163,0.239,0.203,1
"Herpud1",6.66608744499569e-05,0.171579133284868,0.139,0.099,1
"Hid1",0.000455619785084153,0.140630754009712,0.293,0.243,1
"Hjurp",0.00209860948469683,0.0947501121583154,0.32,0.27,1
"Hmg20b",0.00581354075772635,0.0881564098152225,0.185,0.151,1
"Hmgcr",0.000550097634925686,0.138873596999728,0.164,0.128,1
"Hmgcs1",2.020406086873e-06,0.21868382100155,0.26,0.2,0.0303464994248325
"Hmgcs2",0.000540259691419737,-0.294779037985558,0.493,0.514,1
"Hmgn3",0.00577518821111955,0.103144497348119,0.211,0.177,1
"Hnrnph3",0.000319890484992918,0.151654946890709,0.216,0.17,1
"Hnrnpm",0.00519308384282256,0.0162668082014035,0.404,0.35,1
"Hnrnpul1",0.000120476654902182,0.163756447671792,0.236,0.187,1
"Hnrnpul2",0.00226284703315529,0.0642214547637494,0.184,0.148,1
"Homer3",4.34224200540715e-05,0.13977520202164,0.179,0.133,0.652204749212154
"Hpf1",0.00290313278215819,0.0515561401439284,0.125,0.096,1
"Hsd17b14",0.000821514865865259,0.0845532461891223,0.244,0.198,1
"Hsp90aa1",0.00858055420258459,-0.0983245923239851,0.155,0.214,1
"Hspa1b",0.000250557861124306,-0.262253469508897,0.16,0.237,1
"Hspg2",0.00565306480985334,0.0329678026211959,0.79,0.741,1
"Htt",8.23024749982662e-06,0.153664229848651,0.276,0.213,0.123618317447396
"Huwe1",0.000715586553068872,0.124120116434059,0.492,0.434,1
"Ick",0.00652751413976856,0.0522564840956463,0.196,0.161,1
"Id3",0.00290564575154864,0.337370754107046,0.224,0.165,1
"Ide",6.3269102426985e-05,0.155825523576892,0.108,0.073,0.950301918453314
"Idnk",0.00768799149706631,0.093625285880115,0.147,0.119,1
"Ifit3",0.00842966856827718,-0.387984084947543,0.073,0.112,1
"Ifnar1",0.00173906212404296,0.149488655822561,0.125,0.096,1
"Ifrd1",0.00257393194744614,0.141804542185474,0.133,0.104,1
"Ift172",0.00252381790151383,0.323215291208292,0.151,0.1,1
"Ift74",0.00261802667873688,0.113711941700222,0.141,0.11,1
"Igf1r",0.00800520123023494,-0.349952442932206,0.176,0.227,1
"Il17rb",0.00263995255832046,0.0362614280670888,0.163,0.128,1
"Insc",0.0044313108226818,0.129847296977051,0.111,0.086,1
"Insig1",0.00154780608283729,0.0740877365554262,0.283,0.236,1
"Ints10",0.00110015767560527,0.133465086541824,0.225,0.185,1
"Ip6k2",0.000692625707432357,0.102925704921719,0.388,0.33,1
"Ipo4",0.00802586740700616,0.0760031014651926,0.14,0.113,1
"Iqgap1",0.00268695776646769,0.0642461987021747,0.179,0.145,1
"Iqgap2",0.00107358946297301,0.163005453349758,0.232,0.192,1
"Irak1",0.0007757231050208,0.144158883629007,0.137,0.104,1
"Itga2b",0.00849338529228021,0.0694931225959229,0.103,0.079,1
"Itga3",0.0003723905612486,0.157676639544977,0.158,0.122,1
"Itga6",8.45568275811471e-05,0.0811818598945435,0.473,0.398,1
"Itga7",0.00233094462110186,0.187020043100228,0.528,0.459,1
