"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","neg_log10_padj"
"GO:0018105","peptidyl-serine phosphorylation",212,4,0.0188679245283019,4.1664986317154,3.12103748858708,0.0159563130892673,0.13345248679781,"Mapkap1,Rock1,Cab39,Slc1a1",0.87467332901395
"GO:0044786","cell cycle DNA replication",43,2,0.0465116279069767,10.2709036037635,4.10330528617,0.0162792510733338,0.13345248679781,"Pcna,Zmpste24",0.87467332901395
"GO:0090329","regulation of DNA-templated DNA replication",43,2,0.0465116279069767,10.2709036037635,4.10330528617,0.0162792510733338,0.13345248679781,"Pcna,Zmpste24",0.87467332901395
"GO:1902882","regulation of response to oxidative stress",43,2,0.0465116279069767,10.2709036037635,4.10330528617,0.0162792510733338,0.13345248679781,"Mapkap1,Mctp1",0.87467332901395
"GO:0030336","negative regulation of cell migration",326,5,0.0153374233128834,3.38687772209994,2.92317282271889,0.0165867154672702,0.13345248679781,"Arid4b,Ccl12,Stard13,Krit1,Mctp1",0.87467332901395
"GO:0006364","rRNA processing",217,4,0.0184331797235023,4.07049635909523,3.06216096852779,0.0172300294262451,0.13345248679781,"Wdr46,Pop5,Nop9,Tfb2m",0.87467332901395
"GO:0042177","negative regulation of protein catabolic process",121,3,0.0247933884297521,5.47498580531197,3.32697129145157,0.0177380039016561,0.13345248679781,"Mad2l1,Mtm1,N4bp1",0.87467332901395
"GO:0010613","positive regulation of cardiac muscle hypertrophy",45,2,0.0444444444444444,9.81441899915182,3.99109918055881,0.0177432621936502,0.13345248679781,"Adk,Rock1",0.87467332901395
"GO:0006109","regulation of carbohydrate metabolic process",220,4,0.0181818181818182,4.01498959056211,3.02767608957462,0.0180239104692553,0.13345248679781,"Phlda2,Nfe2l1,Zmpste24,Hsd11b1",0.87467332901395
"GO:0006356","regulation of transcription by RNA polymerase I",46,2,0.0434782608695652,9.60106206438765,3.93759539037274,0.0184954593847368,0.134305617624475,"Sf3b1,Zmpste24",0.871905821640389
"GO:0014742","positive regulation of muscle hypertrophy",46,2,0.0434782608695652,9.60106206438765,3.93759539037274,0.0184954593847368,0.134305617624475,"Adk,Rock1",0.871905821640389
"GO:0017145","stem cell division",46,2,0.0434782608695652,9.60106206438765,3.93759539037274,0.0184954593847368,0.134305617624475,"Ndufs6,Tial1",0.871905821640389
"GO:0044788","host-mediated perturbation of viral process",46,2,0.0434782608695652,9.60106206438765,3.93759539037274,0.0184954593847368,0.134305617624475,"Ccl12,Nucks1",0.871905821640389
"GO:0006275","regulation of DNA replication",123,3,0.024390243902439,5.385961645876,3.28773774736794,0.0185192946259385,0.134305617624475,"Nucks1,Pcna,Zmpste24",0.871905821640389
"GO:0034502","protein localization to chromosome",123,3,0.024390243902439,5.385961645876,3.28773774736794,0.0185192946259385,0.134305617624475,"Zw10,Spdl1,Vrk1",0.871905821640389
"GO:0050000","chromosome localization",124,3,0.0241935483870968,5.34252647131248,3.26844091462165,0.018917019340111,0.136788856222499,"Zw10,Spdl1,Gem",0.863949281842571
"GO:0018209","peptidyl-serine modification",224,4,0.0178571428571429,3.9432933478735,2.98263472513209,0.01911737370759,0.137834592358222,"Mapkap1,Rock1,Cab39,Slc1a1",0.860641773829421
"GO:2000146","negative regulation of cell motility",342,5,0.0146198830409357,3.22842730235257,2.79607329419378,0.0199486012194776,0.143409566324908,"Arid4b,Ccl12,Stard13,Krit1,Mctp1",0.843421877513775
"GO:0000245","spliceosomal complex assembly",50,2,0.04,8.83297709923664,3.73888429394159,0.021635726929386,0.150886611136271,"Gcfc2,Sf3b1",0.821349295463719
"GO:0030490","maturation of SSU-rRNA",50,2,0.04,8.83297709923664,3.73888429394159,0.021635726929386,0.150886611136271,"Wdr46,Nop9",0.821349295463719
"GO:0043392","negative regulation of DNA binding",50,2,0.04,8.83297709923664,3.73888429394159,0.021635726929386,0.150886611136271,"Habp4,Id2",0.821349295463719
"GO:0000082","G1/S transition of mitotic cell cycle",233,4,0.0171673819742489,3.79097729580972,2.88499371900309,0.0217255798461741,0.150886611136271,"Ccl12,Rbl1,Id2,Rfwd3",0.821349295463719
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process",131,3,0.0229007633587786,5.05704795757823,3.13896077346595,0.0218334787756595,0.150886611136271,"Rchy1,Mtm1,N4bp1",0.821349295463719
"GO:0060074","synapse maturation",51,2,0.0392156862745098,8.65978146983984,3.69265856816248,0.022453001576283,0.150886611136271,"Rock1,Disc1",0.821349295463719
"GO:2000772","regulation of cellular senescence",51,2,0.0392156862745098,8.65978146983984,3.69265856816248,0.022453001576283,0.150886611136271,"Rbl1,Zmpste24",0.821349295463719
"GO:0006413","translational initiation",133,3,0.0225563909774436,4.98100212362968,3.10365479501362,0.0227093510972317,0.152195732421284,"Eif1ad,Eif2ak1,Habp4",0.817597525041606
"GO:0051983","regulation of chromosome segregation",134,3,0.0223880597014925,4.94383046599066,3.08626603269368,0.0231543898951662,0.154004175343934,"Zw10,Mad2l1,Spdl1",0.812467504460621
