"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","7/682","28/10644",0.25,3.90175953079179,4.02263779744972,0.00155404302368206,0.0113963155070018,0.00843363699401728,"16193/76408/20509/16176/12675/52466/18033",7
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","16/682","110/10644",0.145454545454545,2.27011463609704,3.50343089839007,0.0016552389952988,0.0118745406184479,0.0087875388308769,"16193/170826/12702/26427/384783/231991/20111/244416/14584/19046/19246/11606/18761/18033/18534/18751",16
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","21/682","164/10644",0.128048780487805,1.99846219869823,3.37150540106614,0.00180805360138538,0.01246466041644,0.00922424630498911,"12575/17869/16193/12427/26427/13063/24088/54123/18019/12566/231991/13205/13655/56489/26397/21898/12675/13557/29857/18033/18751",21
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","25/682","209/10644",0.119617224880383,1.86687058889559,3.31155623627399,0.00185024966925125,0.01246466041644,0.00922424630498911,"246256/18602/14289/64008/14293/12273/17969/17970/24088/12796/70315/12363/170744/21898/107435/20345/105675/56644/29857/14131/17972/19354/18033/18751/17523",25
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","15/682","101/10644",0.148514851485149,2.31787694898522,3.48180460333933,0.00185081321335019,0.01246466041644,0.00922424630498911,"15894/20339/16193/20293/21824/18712/18787/22339/16176/16175/11606/12829/29857/18033/18751",15
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","13/682","82/10644",0.158536585365854,2.47428653172162,3.50644226451441,0.00201269846686828,0.0132838098813307,0.00983044303817773,"16193/54483/216799/54123/74568/20016/56489/18036/16176/12675/18033/15951/383619",13
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","15/682","103/10644",0.145631067961165,2.27286962958745,3.39635110357141,0.00225586709989091,0.0145967871169412,0.010802088073781,"16193/20293/18787/24088/11421/15980/21898/14679/16176/12675/29857/18033/12503/15979/12502",15
"Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars","8/682","38/10644",0.210526315789474,3.28569223645624,3.69304576710602,0.0023930002173754,0.0151863475333439,0.0112383815876739,"107652/15277/22235/212032/14584/54342/227620/94181",8
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","18/682","136/10644",0.132352941176471,2.06563739865448,3.27242593209445,0.00259056305301344,0.0161299208961214,0.0119366559741632,"17873/12044/13197/13063/17210/16906/11796/22145/12983/16905/13665/78943/78688/12675/22146/18033/13040/23882",18
"Metabolism","Glycan biosynthesis and metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism","8/682","39/10644",0.205128205128205,3.20144371757275,3.60359108215448,0.00284493760916814,0.0173857298338053,0.0128659946457507,"107652/15277/22235/212032/14584/54342/71884/227620",8
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","22/682","183/10644",0.120218579234973,1.87625594923321,3.12838988557772,0.00317728504103431,0.0190637102462059,0.0141077536750232,"12575/17873/17869/16193/12427/13197/18787/15259/18019/12566/63873/17164/56484/26397/19046/16175/13557/29857/18033/14991/23882/54354",22
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","28/682","256/10644",0.109375,1.70701979472141,2.99596361689622,0.00381853810596401,0.0225020995530022,0.0166522714395423,"12765/12575/17869/16193/19225/20293/12771/26427/13063/21354/18019/14707/12767/231991/22339/14679/16176/12675/13557/14695/29857/16177/14674/16194/19354/18033/14991/18751",28
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","16/682","122/10644",0.131147540983607,2.04682467189077,3.04267569950273,0.00478706386682294,0.0277145802816065,0.0205096734460374,"18019/26410/22637/16818/108723/18036/12042/12675/18761/29857/19264/18033/12503/12502/16822/21947",16
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","15/682","112/10644",0.133928571428571,2.09022832006703,3.03474353576608,0.00509341671678674,0.0289657840656834,0.0214356041570608,"17869/12156/22042/224109/20482/68010/15216/209268/12163/21815/238057/17130/16323/269275/11479",15
"Human Diseases","Infectious disease: viral","mmu05162","Measles","18/682","145/10644",0.124137931034483,1.93742542218627,2.97370381496898,0.00517873109053127,0.0289657840656834,0.0214356041570608,"16193/13063/21929/24088/54123/12566/170780/56489/13665/16185/18036/21898/16176/16175/12675/18033/12502/15481",18
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","11/682","72/10644",0.152777777777778,2.38440860215054,3.08391862498759,0.0057944669373292,0.0313471162183383,0.0231978659095837,"12702/14081/384783/18036/12675/50790/18761/72674/18033/18534/21938",11
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","11/682","72/10644",0.152777777777778,2.38440860215054,3.08391862498759,0.0057944669373292,0.0313471162183383,0.0231978659095837,"12575/17873/13197/16574/21802/56484/13557/58231/18751/23882/54354",11
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","12/682","84/10644",0.142857142857143,2.22957687473816,2.96015410014467,0.00699005738768003,0.0361739294561423,0.0267698616708932,"18733/232801/18019/17096/17060/108723/18036/12042/12675/19354/18033/18751",12
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","17/682","138/10644",0.123188405797101,1.92260614560755,2.8542245535485,0.00699532533431568,0.0361739294561423,0.0267698616708932,"246256/15894/14289/94179/14293/12273/12796/12263/19204/20345/16664/15001/15000/12630/14131/17195/625018",17
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","7/682","36/10644",0.194444444444444,3.0347018572825,3.19953029053584,0.00701554995513063,0.0361739294561423,0.0267698616708932,"12265/21354/22637/17060/16818/19264/21947",7
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","12/682","86/10644",0.13953488372093,2.17772624974425,2.86915295668998,0.00842164963649862,0.0427119079281222,0.031608174288116,"545486/67951/15559/22151/227613/14609/22145/14679/22146/104318/13489/18751",12
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","17/682","141/10644",0.120567375886525,1.88169963187122,2.75755690145339,0.0086345376255734,0.0427119079281222,0.031608174288116,"14825/16193/20310/12273/56489/56484/12263/26397/21898/16176/16172/12675/29857/72674/625018/18033/13106",17
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","11/682","76/10644",0.144736842105263,2.25891341256367,2.88175598711601,0.00871563093430428,0.0427119079281222,0.031608174288116,"12575/17873/13197/21802/22339/12675/13557/19354/64143/18033/23882",11
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","16/682","130/10644",0.123076923076923,1.92086623054365,2.76398184824472,0.00880124163367367,0.0427119079281222,0.031608174288116,"16180/15559/63873/14063/26397/18442/19046/16176/18761/12323/16000/29857/16177/11419/12061/18751",16
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","25/682","237/10644",0.105485232067511,1.64631203830877,2.63271950295816,0.00949285486104596,0.0454006102050024,0.0335978997370353,"23872/19696/271457/16002/11352/233046/14707/22637/19417/21802/22339/54153/12675/16000/14695/19354/13640/64143/271849/19415/18033/58231/18751/14256/54354",25
