"gene","STRING_id"
"Mfap5","10090.ENSMUSP00000122863"
"Nkd1","10090.ENSMUSP00000034086"
"Nlk","10090.ENSMUSP00000119345"
"Fbxo25","10090.ENSMUSP00000147467"
"Scube1","10090.ENSMUSP00000016907"
"Rassf4","10090.ENSMUSP00000048267"
"Adcy1","10090.ENSMUSP00000020706"
"Jam3","10090.ENSMUSP00000034472"
"Slc9a3r1","10090.ENSMUSP00000021077"
"Als2","10090.ENSMUSP00000027178"
"Gnai1","10090.ENSMUSP00000074259"
"S100a4","10090.ENSMUSP00000001046"
"Kcnk1","10090.ENSMUSP00000046103"
"P4ha1","10090.ENSMUSP00000009789"
"Vgll4","10090.ENSMUSP00000032459"
"Serpinh1","10090.ENSMUSP00000126390"
"Snx8","10090.ENSMUSP00000031539"
"Tmem214","10090.ENSMUSP00000144615"
"Mvk","10090.ENSMUSP00000107858"
"Large1","10090.ENSMUSP00000148336"
"Nktr","10090.ENSMUSP00000035112"
"Cdc42bpa","10090.ENSMUSP00000106746"
"Sema7a","10090.ENSMUSP00000042211"
"Ift172","10090.ENSMUSP00000049335"
"Appbp2","10090.ENSMUSP00000018625"
"Paxbp1","10090.ENSMUSP00000113835"
"Col14a1","10090.ENSMUSP00000105850"
"St7l","10090.ENSMUSP00000058455"
"Tmem234","10090.ENSMUSP00000099651"
"Gpt2","10090.ENSMUSP00000034136"
"Sdk1","10090.ENSMUSP00000082928"
"Syngap1","10090.ENSMUSP00000141686"
"Mical3","10090.ENSMUSP00000146544"
"Mfsd7a","10090.ENSMUSP00000031455"
"Ralgapa1","10090.ENSMUSP00000082503"
"Ncf2","10090.ENSMUSP00000140404"
"Gfra1","10090.ENSMUSP00000026076"
"Napa","10090.ENSMUSP00000006181"
"Cxxc1","10090.ENSMUSP00000025444"
"Arih1","10090.ENSMUSP00000126531"
"P4ha2","10090.ENSMUSP00000019050"
"Srek1","10090.ENSMUSP00000147737"
"Epha6","10090.ENSMUSP00000066734"
"Ints10","10090.ENSMUSP00000105871"
"Mars","10090.ENSMUSP00000130666"
"Fdft1","10090.ENSMUSP00000153671"
"Clptm1","10090.ENSMUSP00000051293"
"Sema4g","10090.ENSMUSP00000026225"
"Adamtsl1","10090.ENSMUSP00000102796"
"Hjurp","10090.ENSMUSP00000054263"
"Stt3b","10090.ENSMUSP00000035010"
"Vps54","10090.ENSMUSP00000006221"
"Zbtb18","10090.ENSMUSP00000091831"
"Ppcdc","10090.ENSMUSP00000082856"
"Vps50","10090.ENSMUSP00000001412"
"Smg1","10090.ENSMUSP00000032891"
"Azin1","10090.ENSMUSP00000065544"
"Psap","10090.ENSMUSP00000137476"
"Rab8b","10090.ENSMUSP00000041857"
"Srrm1","10090.ENSMUSP00000125003"
"Tcim","10090.ENSMUSP00000058631"
"Edf1","10090.ENSMUSP00000015236"
"Snapc3","10090.ENSMUSP00000030206"
"Zfp280c","10090.ENSMUSP00000075933"
"Slc7a6os","10090.ENSMUSP00000039029"
"Dnm1l","10090.ENSMUSP00000155155"
"Sdf2","10090.ENSMUSP00000002133"
"Tle3","10090.ENSMUSP00000124131"
"Map4k5","10090.ENSMUSP00000106199"
"Uggt1","10090.ENSMUSP00000037930"
"Cntf","10090.ENSMUSP00000108555"
"Elovl1","10090.ENSMUSP00000006557"
"Nedd9","10090.ENSMUSP00000021794"
"Slc6a6","10090.ENSMUSP00000032185"
"Rap1a","10090.ENSMUSP00000088174"
"Myo9b","10090.ENSMUSP00000129220"
"Ptprm","10090.ENSMUSP00000153662"
"Prx","10090.ENSMUSP00000096241"
"Btbd8","10090.ENSMUSP00000056529"
"Zfp445","10090.ENSMUSP00000151198"
"Tmem176a","10090.ENSMUSP00000098969"
"Wbp11","10090.ENSMUSP00000112213"
"Pcca","10090.ENSMUSP00000038763"
"Hsd17b14","10090.ENSMUSP00000103381"
"Nek1","10090.ENSMUSP00000147809"
"Cnot10","10090.ENSMUSP00000064840"
"Specc1l","10090.ENSMUSP00000101061"
"Ccn1","10090.ENSMUSP00000029846"
"Chst2","10090.ENSMUSP00000040775"
"Atxn7l1","10090.ENSMUSP00000088085"
"Dcp1b","10090.ENSMUSP00000108397"
"D11Wsu47e","10090.ENSMUSP00000042025"
"Mapkbp1","10090.ENSMUSP00000068516"
"Ppfia1","10090.ENSMUSP00000138312"
"Surf2","10090.ENSMUSP00000015017"
"Uba3","10090.ENSMUSP00000086701"
"Sgcd","10090.ENSMUSP00000076459"
"Cln8","10090.ENSMUSP00000027554"
"Acsl3","10090.ENSMUSP00000045291"
"Pdcd4","10090.ENSMUSP00000073975"
"Gkap1","10090.ENSMUSP00000089169"
